Period,Tariff
2020-06-17 23:00:00.000000,5.355
2020-06-17 23:30:00.000000,5.355
2020-06-18 00:00:00.000000,5.355
2020-06-18 00:30:00.000000,5.355
2020-06-18 01:00:00.000000,5.355
2020-06-18 01:30:00.000000,5.355
2020-06-18 02:00:00.000000,5.355
2020-06-18 02:30:00.000000,5.355
2020-06-18 03:00:00.000000,5.355
2020-06-18 03:30:00.000000,5.355
2020-06-18 04:00:00.000000,5.355
2020-06-18 04:30:00.000000,5.292
2020-06-18 05:00:00.000000,5.355
2020-06-18 05:30:00.000000,5.5965
2020-06-18 06:00:00.000000,4.851
2020-06-18 06:30:00.000000,7.7175
2020-06-18 07:00:00.000000,6.8145
2020-06-18 07:30:00.000000,7.7175
2020-06-18 08:00:00.000000,7.7175
2020-06-18 08:30:00.000000,7.2975
2020-06-18 09:00:00.000000,7.6965
2020-06-18 09:30:00.000000,7.014
2020-06-18 10:00:00.000000,6.972
2020-06-18 10:30:00.000000,7.056
2020-06-18 11:00:00.000000,7.581
2020-06-18 11:30:00.000000,7.14
2020-06-18 12:00:00.000000,7.7175
2020-06-18 12:30:00.000000,5.733
2020-06-18 13:00:00.000000,6.174
2020-06-18 13:30:00.000000,5.649
2020-06-18 14:00:00.000000,5.4705
2020-06-18 14:30:00.000000,6.7935
2020-06-18 15:00:00.000000,17.451
2020-06-18 15:30:00.000000,20.454
2020-06-18 16:00:00.000000,19.656
2020-06-18 16:30:00.000000,20.3175
2020-06-18 17:00:00.000000,20.3175
2020-06-18 17:30:00.000000,19.9395
2020-06-18 18:00:00.000000,7.7595
2020-06-18 18:30:00.000000,7.161
2020-06-18 19:00:00.000000,7.7175
2020-06-18 19:30:00.000000,6.951
2020-06-18 20:00:00.000000,7.7175
2020-06-18 20:30:00.000000,6.0165
2020-06-18 21:00:00.000000,7.2765
2020-06-18 21:30:00.000000,6.069
2020-06-18 22:00:00.000000,5.733
2020-06-18 22:30:00.000000,6.174
